run_id,algorithm,seed,max_iterations,total_time,parameters
c1ba7156-9b09-454c-9f93-d181e82a177a,AC,929720287,100,0.37735595899721375,"{""alpha"": 0.5, ""beta"": 0.5}"
8a7be36e-ea40-4972-864b-53db0438fe08,GA,929720287,100,0.029644540998560842,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
a6a0d761-73a4-4402-9659-b1c4d2725c9d,HA,929720287,100,0.4517651249989285,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
7b77284f-cd11-4cc0-a696-acadfeb925ad,AC,929720287,500,1.8827957920002518,"{""alpha"": 0.5, ""beta"": 0.5}"
1873daaf-d913-4add-b595-0478ae3e4d59,GA,929720287,500,0.14632420899579301,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
1720e67c-0cfd-44e1-8e1b-feba4b35d9a7,HA,929720287,500,2.0981675410002936,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
74f657a0-2fbb-46a3-a2d2-0aaf000fcd36,AC,929720287,1000,3.763640707999002,"{""alpha"": 0.5, ""beta"": 0.5}"
bb00e7c7-9871-4a4b-b3ce-aa6aff867bc8,GA,929720287,1000,0.2922895830051857,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
f41aa39f-388f-4a5c-aff1-709a61aee430,HA,929720287,1000,4.14623387499887,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
8c3b4ea6-5596-48d5-9bcd-c47d308ccae6,AC,929720287,2000,7.5113295419942006,"{""alpha"": 0.5, ""beta"": 0.5}"
aca28867-f0ca-4058-93d1-a3d47abef3dd,GA,929720287,2000,0.5821946670039324,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
a8f39b59-f918-4a41-a50e-2a663580d471,HA,929720287,2000,8.238313833004213,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
3a41221b-76a2-45f3-ad34-8707962351e7,AC,929720287,5000,18.802715249999892,"{""alpha"": 0.5, ""beta"": 0.5}"
79d0e952-3e3e-4100-b948-52c4774e0a80,GA,929720287,5000,1.4506494590023067,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
16941bf8-2dd0-4074-8db9-15e0125c408e,HA,929720287,5000,20.53417829099635,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
