run_id,algorithm,seed,max_iterations,total_time,parameters
b49d6b54-76cb-47fb-aab6-8bf26f7a883a,AC,929720287,100,0.11302324999996927,"{""alpha"": 0.5, ""beta"": 0.5}"
9a46b3f8-bfdc-47aa-b754-533f188eeef6,GA,929720287,100,0.01099491600325564,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
d4160d30-4c45-4229-a243-87e4300f3d8d,HA,929720287,100,0.13767599999846425,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
5048b6fa-7703-4c53-afcd-8303e189e6f4,AC,929720287,500,0.5609983750036918,"{""alpha"": 0.5, ""beta"": 0.5}"
8676962e-c766-457b-9046-5d02fd7f0ae5,GA,929720287,500,0.05486466699949233,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
751cffa3-e96c-4939-b8fd-8fa1a503019c,HA,929720287,500,0.6369223749934463,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
cf925b84-3a8b-4d7a-8b52-e63f69b4d63f,AC,929720287,1000,1.1239657500045723,"{""alpha"": 0.5, ""beta"": 0.5}"
f5745d0f-c1c3-470a-bafb-a198857cd323,GA,929720287,1000,0.10878495799988741,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
7f6aa037-f8f2-49be-b70e-5e47fbc18446,HA,929720287,1000,1.263159625006665,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
30f6b01f-943a-4e67-ae04-d0742cb450e7,AC,929720287,2000,2.241490167005395,"{""alpha"": 0.5, ""beta"": 0.5}"
1d99ebc9-19d9-493f-a98e-bf78ea0c0933,GA,929720287,2000,0.219108208999387,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
50c19d8f-f670-4ffc-8fcc-6eeb31571ac5,HA,929720287,2000,2.515945750004903,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
20957714-39b5-4dc7-b00e-e37643c2470f,AC,929720287,5000,5.594549166999059,"{""alpha"": 0.5, ""beta"": 0.5}"
aba383bd-6d70-40e3-a476-3edc607d2ada,GA,929720287,5000,0.5430110410015914,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
2497c5e3-3a48-488f-81a4-3b1be68dc601,HA,929720287,5000,6.268017291004071,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
f1cc572c-a45a-484f-be25-d9fa684e4439,AC,1232291959,100,0.11206174999824725,"{""alpha"": 0.5, ""beta"": 0.5}"
dd7c2421-080a-454a-9c3a-51b6f0eba774,GA,1232291959,100,0.010979916994983796,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
c07b9cb8-14ec-43d3-b9b0-902479f54526,HA,1232291959,100,0.13732829200307606,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
6ae4648d-facb-4581-9ee6-25b3a50422cc,AC,1232291959,500,0.5590060410031583,"{""alpha"": 0.5, ""beta"": 0.5}"
d4da3ede-969a-4d92-a1d6-08c8657949c9,GA,1232291959,500,0.05488020800112281,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
64263349-1b80-44b7-a0ad-3fbe6cfe50c4,HA,1232291959,500,0.6382360829957179,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
5e3a63da-795d-46ef-ad1e-094fd8f7f58a,AC,1232291959,1000,1.120402708002075,"{""alpha"": 0.5, ""beta"": 0.5}"
f2955559-7981-46ff-a567-ee956cdbb326,GA,1232291959,1000,0.10881983300350839,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
4a58b877-3a16-4f1c-967a-1e38e28ee0a5,HA,1232291959,1000,1.262958792001882,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
63ab043a-ce42-466b-a181-06466788fbbd,AC,1232291959,2000,2.246532917000877,"{""alpha"": 0.5, ""beta"": 0.5}"
c20db51a-2351-4ad9-ab82-1531b5c2b3f5,GA,1232291959,2000,0.21833395800058497,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
2f266a57-6e33-4d2a-b41c-2ee3412416a2,HA,1232291959,2000,2.524960499998997,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
b1ef64b0-5432-4d33-9981-8b2ed4f9b7a8,AC,1232291959,5000,5.6063565840013325,"{""alpha"": 0.5, ""beta"": 0.5}"
dbe3dcb3-758e-402f-bf1b-ad97a8cff954,GA,1232291959,5000,0.5426138330003596,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
6a499a3a-9c55-44c8-bd17-d13f12480d95,HA,1232291959,5000,6.2730717079975875,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
72f1e4e3-0e2c-4d77-ab2b-435c75a2bc2f,AC,1910148937,100,0.11215020799863851,"{""alpha"": 0.5, ""beta"": 0.5}"
6e0bba8d-984e-4e50-821b-69dc46355e9a,GA,1910148937,100,0.010953042001347058,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
92b64d3f-7281-4e78-806b-20ebc413e521,HA,1910148937,100,0.13759516699792584,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
734cf51d-5ed7-47b9-974c-491f4b0aef30,AC,1910148937,500,0.5600701250004931,"{""alpha"": 0.5, ""beta"": 0.5}"
64df474a-0a55-4320-b3ad-c1c84e8d7f85,GA,1910148937,500,0.054775374999735504,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
b228c3e1-cc41-48af-a7c7-f786d974cc63,HA,1910148937,500,0.6383375840014196,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
c1e30d66-e7cc-4b58-81a7-8a1014c704f2,AC,1910148937,1000,1.1186683749983786,"{""alpha"": 0.5, ""beta"": 0.5}"
9f7f15aa-164f-4c69-9df7-39cc77ab9dd8,GA,1910148937,1000,0.11025037500075996,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
f7784990-2d8c-40e7-bbba-00eec65c6b44,HA,1910148937,1000,1.2652627500065137,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
2516d8c5-00f9-4760-a6c8-7c58387f6ccd,AC,1910148937,2000,2.2449335839992273,"{""alpha"": 0.5, ""beta"": 0.5}"
f66686f6-349b-4f6d-8450-81a191ab7cab,GA,1910148937,2000,0.21829337499366375,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
06dadc57-3cc0-4198-bb5a-587ce2bd4fbb,HA,1910148937,2000,2.514865290999296,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
faeb644f-f939-487c-a3c9-42df7140707c,AC,1910148937,5000,5.6172155830063275,"{""alpha"": 0.5, ""beta"": 0.5}"
1747b281-165a-4cf5-a04e-9c2e48fde559,GA,1910148937,5000,0.5498169170023175,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
d115e8e4-dd39-406f-84ee-cf7260d74787,HA,1910148937,5000,6.273805832999642,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
835c43ff-ade0-41ac-8d73-cf1053d62c30,AC,1318437012,100,0.11228937499981839,"{""alpha"": 0.5, ""beta"": 0.5}"
bba3a2cd-3560-4279-9677-38ab9f5c2f1a,GA,1318437012,100,0.01108162500167964,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
9209e0ef-2b94-44eb-98e6-487369c08509,HA,1318437012,100,0.1374565829974017,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
030045ab-1720-4587-ace1-a8c3d5319eca,AC,1318437012,500,0.5617160419933498,"{""alpha"": 0.5, ""beta"": 0.5}"
78c3a4b8-2a24-4d34-b0cd-05febe72a6a5,GA,1318437012,500,0.05451854199782247,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
5cff9ea7-dbd5-4c6c-856c-3e6dba7dba31,HA,1318437012,500,0.6389082919995417,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
e11ede3d-38d3-4f73-b368-913669781f22,AC,1318437012,1000,1.1200930000049993,"{""alpha"": 0.5, ""beta"": 0.5}"
4e3826ea-25aa-4a67-8913-5ca729f03b3c,GA,1318437012,1000,0.10960154100030195,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
