run_id,algorithm,seed,max_iterations,total_time,parameters
dba8ebd6-ef00-4f3e-a476-df343bf0767b,AC,929720287,100,0.713287833998038,"{""alpha"": 0.5, ""beta"": 0.5}"
1fcb2d61-9387-4337-8ac7-b4d8523ea83f,GA,929720287,100,0.053822959001990966,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
f93823b2-526b-4420-8212-302697b4a7a5,HA,929720287,100,0.8502092499984428,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
9ca49fe5-9606-4fde-9682-8155d3e842d7,AC,929720287,500,3.5592709999982617,"{""alpha"": 0.5, ""beta"": 0.5}"
e4ec9985-3e40-4004-b004-aae3f1b258ff,GA,929720287,500,0.2652745000013965,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
8333d362-c38d-4fff-bd96-2d535f830297,HA,929720287,500,3.939521791995503,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
9abee2ac-68e2-48e5-bb43-f8bcbb9c2e9b,AC,929720287,1000,7.097291167003277,"{""alpha"": 0.5, ""beta"": 0.5}"
1a55f67a-4581-41ef-b310-1586e982bb44,GA,929720287,1000,0.5282797499967273,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
2bbfd466-ec29-49ff-8754-259d52e2a9e4,HA,929720287,1000,7.815408208000008,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
9aa20fd9-3f8d-4f9d-a02c-794c9b39e5ac,AC,929720287,2000,14.220497291003994,"{""alpha"": 0.5, ""beta"": 0.5}"
3433599a-aea3-41d3-afb5-083bec549cd2,GA,929720287,2000,1.0554046250035753,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
aacf1d05-03d6-48d8-905a-704de8d3ece9,HA,929720287,2000,15.53635983300046,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
670d0c81-a621-4868-9c2b-1c3ea1cc44dd,AC,929720287,5000,35.54883808299928,"{""alpha"": 0.5, ""beta"": 0.5}"
2b0db5c3-3e32-435e-bdc0-ac6efee7c475,GA,929720287,5000,2.6464295419937116,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
2b33496e-3466-4723-9b92-6951d2c0ca53,HA,929720287,5000,38.787995416998456,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
dda46508-f08e-45b5-9092-46eff7e6db5c,AC,1232291959,100,0.7109094589977758,"{""alpha"": 0.5, ""beta"": 0.5}"
8db49561-0d41-474c-91de-86e3151f1492,GA,1232291959,100,0.053711792003014125,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
8143c1da-0633-44ad-9597-eba3a4e5f628,HA,1232291959,100,0.8528644999969401,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
5d2f3b0e-394d-4042-a8ae-cc3909d074da,AC,1232291959,500,3.5664337079942925,"{""alpha"": 0.5, ""beta"": 0.5}"
bae87f41-9eee-4cde-87ed-9c799e575d47,GA,1232291959,500,0.2635947499948088,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
88e4a841-782a-45d5-a0cd-4b9a3a2d3c75,HA,1232291959,500,3.9427275420021033,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
db54cc90-6314-411d-919c-27826e4f9f5f,AC,1232291959,1000,7.106636459000583,"{""alpha"": 0.5, ""beta"": 0.5}"
4eff179d-766b-47a2-b3c1-24a72331266a,GA,1232291959,1000,0.5280152919949614,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
bcdbd224-234b-4868-8bbb-35170a6878e1,HA,1232291959,1000,7.783329582998704,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
bd25bcfd-3a35-41c8-a8ba-3485173fbaf3,AC,1232291959,2000,14.214690458000405,"{""alpha"": 0.5, ""beta"": 0.5}"
d2c80af9-7f7b-4178-88d8-8224cde81b2d,GA,1232291959,2000,1.0586943750022328,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
b7206270-2384-475f-847f-e06304ffd30e,HA,1232291959,2000,15.490571999995154,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
fd24c569-bc18-4d4f-8ee7-b5acbae93393,AC,1232291959,5000,35.57633416599856,"{""alpha"": 0.5, ""beta"": 0.5}"
5edc535c-6bb9-4b1c-8260-4a7018a60135,GA,1232291959,5000,2.6382901670003776,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
59615869-d942-4a91-be32-961a659a6316,HA,1232291959,5000,39.18935654199595,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
c820fcff-7352-48d3-b877-eabb5eee8ab8,AC,1910148937,100,0.7174430829982157,"{""alpha"": 0.5, ""beta"": 0.5}"
68a7fdf7-9122-422c-ada9-bfcf12fc540b,GA,1910148937,100,0.053763874995638616,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
800efe65-0eba-4276-a5c4-59618c0185f8,HA,1910148937,100,0.8514385409944225,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
6aeaa657-f7f2-4f99-a1d3-60dc147cc5e9,AC,1910148937,500,3.5999791249996633,"{""alpha"": 0.5, ""beta"": 0.5}"
cefe2cea-18c7-40e4-86a1-b55809ee326b,GA,1910148937,500,0.26744474999577506,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
bcb8a598-ab1c-4728-91c8-d04b679558d8,HA,1910148937,500,3.969055458001094,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
0d84ba6b-def9-452e-bcde-55adce91ab5c,AC,1910148937,1000,7.2344732499987,"{""alpha"": 0.5, ""beta"": 0.5}"
34d4a34f-ca56-4ea9-9d01-abc32750b88c,GA,1910148937,1000,0.5275675829980173,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
72edd338-af29-4d65-8cc3-8f66d1cb4e95,HA,1910148937,1000,7.790324875000806,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
63585a0f-63b3-4885-b8b8-233ade68c978,AC,1910148937,2000,14.24640362500213,"{""alpha"": 0.5, ""beta"": 0.5}"
7290a7d3-0731-4a7b-a4b3-5237aed21e8f,GA,1910148937,2000,1.0595604170011939,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
20fdc879-c14a-4cd2-9177-e1022172e105,HA,1910148937,2000,15.562965874996735,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
a48d67c0-665a-46d8-aaa5-ed818601f0b1,AC,1910148937,5000,35.60086983300425,"{""alpha"": 0.5, ""beta"": 0.5}"
0a759118-9454-4f7d-ba7f-b52dc95da5d7,GA,1910148937,5000,2.659562332999485,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
5c51d32d-d2da-4d17-8519-04ea52437499,HA,1910148937,5000,38.67202283300139,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
ed9bd8b8-30f2-452b-952d-412ec8366038,AC,1318437012,100,0.7100563749991124,"{""alpha"": 0.5, ""beta"": 0.5}"
78a1d212-e581-4934-84d2-a3446a9e1a8a,GA,1318437012,100,0.05360662499879254,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
5aea80a3-c90a-4fad-af7f-8099c874cbc7,HA,1318437012,100,0.8714284579982632,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
ac8ffc68-2859-4490-ad13-d8c7476f58ce,AC,1318437012,500,3.5749858749986743,"{""alpha"": 0.5, ""beta"": 0.5}"
9e844c21-7776-47fc-b9cf-0ca134088d77,GA,1318437012,500,0.26511200000095414,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
2d7105b6-9db0-44d2-a00f-53c6a03e7f86,HA,1318437012,500,3.9491911670047557,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
e68b6b18-4589-4189-96f2-5746f826bb9a,AC,1318437012,1000,7.110844666000048,"{""alpha"": 0.5, ""beta"": 0.5}"
3b42297b-3006-4cd9-8d2e-8c372f63aed7,GA,1318437012,1000,0.5335164589996566,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
cbdaf0a9-e028-48c2-80aa-39f62038d6af,HA,1318437012,1000,7.79747491600574,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
782b4511-e43e-4871-b0c2-6216e5aecc75,AC,1318437012,2000,14.201762208002037,"{""alpha"": 0.5, ""beta"": 0.5}"
f80612cc-a38f-4c28-90aa-9a65df8c49c6,GA,1318437012,2000,1.0626272080044146,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
db06e27f-c4cd-4cf6-857c-75a23e8d1d73,HA,1318437012,2000,15.538772624997364,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
0c11d5f3-edd5-4a90-af05-d98eb07f6b92,AC,1318437012,5000,35.46640491699509,"{""alpha"": 0.5, ""beta"": 0.5}"
9bfffa60-8e66-462f-985a-cdfef7553f2b,GA,1318437012,5000,2.662636458000634,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
6af72d9b-aece-43d8-8f33-2f21b72e5c1a,HA,1318437012,5000,38.704587291998905,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
805ae647-8619-4ce6-9ff4-f82839fee9f3,AC,368380276,100,0.7105222500031232,"{""alpha"": 0.5, ""beta"": 0.5}"
7d2997c8-0900-4863-9088-c93cdde7025b,GA,368380276,100,0.054246792002231814,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
e9fb884a-6206-49c4-8c3f-ca5120b8b98b,HA,368380276,100,0.8504445840007975,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
d3214b2f-9898-4eab-bac3-db354e184378,AC,368380276,500,3.5529042499983916,"{""alpha"": 0.5, ""beta"": 0.5}"
f3aaf821-ad11-4b4a-814c-2cad8c9ad843,GA,368380276,500,0.2653264999971725,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
6b82195a-0eac-4acc-a000-04bf3aee8a7f,HA,368380276,500,3.945764333002444,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
0f07321e-883b-439f-8edc-833bacaef1d5,AC,368380276,1000,7.107217583004967,"{""alpha"": 0.5, ""beta"": 0.5}"
8c328d1c-3c02-44ac-9ede-cac500483941,GA,368380276,1000,0.5269155420028255,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
2e6013c3-d9b0-4354-9590-67d55c0ebadd,HA,368380276,1000,7.8078010409954,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
27da25c9-1519-4730-8fc6-dcfd59e7b4ad,AC,368380276,2000,14.243652167002438,"{""alpha"": 0.5, ""beta"": 0.5}"
d103292e-85f6-4fb9-8fff-bb318056520b,GA,368380276,2000,1.055015750003804,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
76ff78f0-630c-41df-8c36-4190f963be73,HA,368380276,2000,15.56055912499869,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
fb244521-9821-4008-a42d-12780f27357c,AC,368380276,5000,35.61236470800213,"{""alpha"": 0.5, ""beta"": 0.5}"
81d209f9-cfc6-4ef2-a381-e4dfdc762f2a,GA,368380276,5000,2.6680036670004483,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
3300d4fc-305e-49c9-9165-06ba7562469a,HA,368380276,5000,38.82545504200243,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
7e7568ef-95ab-4195-a412-460674a81fde,AC,582810245,100,0.7113829999943846,"{""alpha"": 0.5, ""beta"": 0.5}"
05ed29d5-e6f4-4bc9-bd81-68b604f826f0,GA,582810245,100,0.05420666700229049,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
baf0d46e-d990-43b5-8b07-eccd578a3ace,HA,582810245,100,0.851261040996178,"{""ac"": {""alpha"": 0.5, ""beta"": 0.5}, ""ga"": {""mutation_rate"": 0.25, ""tournament_size"": 3}, ""step"": 10}"
72243216-8c39-4414-82c0-0ecbc63b1b0f,AC,582810245,500,3.5550820830030716,"{""alpha"": 0.5, ""beta"": 0.5}"
2c195480-263b-4c04-8a3e-587a70403a75,GA,582810245,500,0.2649689590034541,"{""mutation_rate"": 0.25, ""tournament_size"": 3}"
